,0
Store,1
Dept,1
Date,2010-02-05 00:00:00
Weekly_Sales,24924.5
IsHoliday,0
Temperature,42.31
Fuel_Price,2.572
MarkDown1,
MarkDown2,
MarkDown3,
MarkDown4,
MarkDown5,
CPI,211.0963582
Unemployment,8.106
Size,151315
train_or_test,train
Type_A,1
Type_B,0
Type_C,0
WeekofMonth,1
WeekofYear,5
Year,2010
Month,2
Week,5
Day,5
Monthly_Sales_mean,32700.750833333335
Monthly_Sales_median,30956.495
Monthly_Sales_max,54060.1
Monthly_Sales_min,19363.83
Monthly_Sales_std,12570.49089129737
Daily_Sales_mean,23638.260000000002
Daily_Sales_median,21904.47
Daily_Sales_max,34238.88
Daily_Sales_min,15295.55
Daily_Sales_std,6890.424496353617
WeekofMonth_Sales_mean,22346.049166666668
WeekofMonth_Sales_median,20220.32
WeekofMonth_Sales_max,57258.43
WeekofMonth_Sales_min,15277.27
WeekofMonth_Sales_std,9515.269195552697
WeekofYear_Sales_mean,23366.916666666668
WeekofYear_Sales_median,23510.49
WeekofYear_Sales_max,24924.5
WeekofYear_Sales_min,21665.76
WeekofYear_Sales_std,1634.1072710912629
Size_Sales_mean,22513.322937062956
Size_Sales_median,18535.48
Size_Sales_max,57592.12
Size_Sales_min,14537.37
Size_Sales_std,9854.349032299468
Unemployment_Sales_mean,27900.0275
Unemployment_Sales_median,23530.57
Unemployment_Sales_max,46039.49
Unemployment_Sales_min,19403.54
Unemployment_Sales_std,10124.538626905778
IsHoliday_Sales_mean,22270.82135338348
IsHoliday_Sales_median,18461.18
IsHoliday_Sales_max,57592.12
IsHoliday_Sales_min,14537.37
IsHoliday_Sales_std,9806.789092090106
Size_Month_Sales_mean,32700.750833333335
Size_Month_Sales_median,30956.495
Size_Month_Sales_max,54060.1
Size_Month_Sales_min,19363.83
Size_Month_Sales_std,12570.49089129737
Unemployment_Month_Sales_mean,32990.77
Unemployment_Month_Sales_median,33260.025
Unemployment_Month_Sales_max,46039.49
Unemployment_Month_Sales_min,19403.54
Unemployment_Month_Sales_std,12832.106390776224
IsHoliday_Month_Sales_mean,30165.984444444442
IsHoliday_Month_Sales_median,23510.49
IsHoliday_Month_Sales_max,54060.1
IsHoliday_Month_Sales_min,19363.83
IsHoliday_Month_Sales_std,13496.104412124922
IsHoliday_Month_Size_Sales_mean,30165.984444444442
IsHoliday_Month_Size_Sales_median,23510.49
IsHoliday_Month_Size_Sales_max,54060.1
IsHoliday_Month_Size_Sales_min,19363.83
IsHoliday_Month_Size_Sales_std,13496.104412124922
Size_WeekofMonth_Sales_mean,22346.049166666668
Size_WeekofMonth_Sales_median,20220.32
Size_WeekofMonth_Sales_max,57258.43
Size_WeekofMonth_Sales_min,15277.27
Size_WeekofMonth_Sales_std,9515.269195552697
Unemployment_WeekofMonth_Sales_mean,23376.2
Unemployment_WeekofMonth_Sales_median,23376.2
Unemployment_WeekofMonth_Sales_max,24924.5
Unemployment_WeekofMonth_Sales_min,21827.9
Unemployment_WeekofMonth_Sales_std,2189.6268586222623
IsHoliday_WeekofMonth_Sales_mean,22346.049166666668
IsHoliday_WeekofMonth_Sales_median,20220.32
IsHoliday_WeekofMonth_Sales_max,57258.43
IsHoliday_WeekofMonth_Sales_min,15277.27
IsHoliday_WeekofMonth_Sales_std,9515.269195552697
Size_WeekofYear_Sales_mean,23366.916666666668
Size_WeekofYear_Sales_median,23510.49
Size_WeekofYear_Sales_max,24924.5
Size_WeekofYear_Sales_min,21665.76
Size_WeekofYear_Sales_std,1634.1072710912629
Unemployment_WeekofYear_Sales_mean,24924.5
Unemployment_WeekofYear_Sales_median,24924.5
Unemployment_WeekofYear_Sales_max,24924.5
Unemployment_WeekofYear_Sales_min,24924.5
Unemployment_WeekofYear_Sales_std,
IsHoliday_WeekofYear_Sales_mean,23366.916666666668
IsHoliday_WeekofYear_Sales_median,23510.49
IsHoliday_WeekofYear_Sales_max,24924.5
IsHoliday_WeekofYear_Sales_min,21665.76
IsHoliday_WeekofYear_Sales_std,1634.1072710912629
Month_Day_Sales_mean,24924.5
Month_Day_Sales_median,24924.5
Month_Day_Sales_max,24924.5
Month_Day_Sales_min,24924.5
Month_Day_Sales_std,
Month_WeekofMonth_Sales_mean,23366.916666666668
Month_WeekofMonth_Sales_median,23510.49
Month_WeekofMonth_Sales_max,24924.5
Month_WeekofMonth_Sales_min,21665.76
Month_WeekofMonth_Sales_std,1634.1072710912629
Month_WeekofYear_Sales_mean,23366.916666666668
Month_WeekofYear_Sales_median,23510.49
Month_WeekofYear_Sales_max,24924.5
Month_WeekofYear_Sales_min,21665.76
Month_WeekofYear_Sales_std,1634.1072710912629
Day_WeekofMonth_Sales_mean,23638.260000000002
Day_WeekofMonth_Sales_median,21904.47
Day_WeekofMonth_Sales_max,34238.88
Day_WeekofMonth_Sales_min,15295.55
Day_WeekofMonth_Sales_std,6890.424496353617
WeekofMonth_WeekofYear_Sales_mean,23366.916666666668
WeekofMonth_WeekofYear_Sales_median,23510.49
WeekofMonth_WeekofYear_Sales_max,24924.5
WeekofMonth_WeekofYear_Sales_min,21665.76
WeekofMonth_WeekofYear_Sales_std,1634.1072710912629
Month_WeekofMonth_WeekofMonth_Sales_mean,23366.916666666668
Month_WeekofMonth_WeekofMonth_Sales_median,23510.49
Month_WeekofMonth_WeekofMonth_Sales_max,24924.5
Month_WeekofMonth_WeekofMonth_Sales_min,21665.76
Month_WeekofMonth_WeekofMonth_Sales_std,1634.1072710912629
